record	page	context	cipher	reading_note
7536	1	par	20 25 21 34 42 36 28 25 37 20 52 40 21 34 68 42 20	Keinisberk a Kinnik: Konigsberg to Kinnig? verify name
7536	1	quoy que	37 25 36 19 26 74 30 25 37 35 34 35	restarderono (retarderont)
7536	1	quelque	21 35 18 37 36	iours
7536	1	mais il seront plus	36 25 18 37	seur
7527	3-left	comme le ... de	33 26 37 29 22 52 31	marchal (marechal)
7527	3-left	de	31 21 19 17 26 34 21 25	Litwanie
7527	3-left	puisque	28 21 25 23 26 34 36 20 42 26 29 35 34 24 25 36 25	Bieganski a confese
7527	3-left	devant son	39 25 37 50	pere
7527	3-left	il a rendu la ... au 100	31 25 36 19 37 50	lestre (lettre)
7527	3-left	et quand le	33 26 37 29 22 52 31	marchal (marechal)
7527	3-left	luy ... cete afaire au 94	37 25 36 39 37 35 58 44 50	resproche (reproche)
7527	3-right	cest luy qui a ... tout	24 35 33 70 34 19 25	fomonte (fomente)
7527	3-right	tout	29 25 31 26	cela
7527	3-right	il a done un ... par grand	31 25 36 19 37 50	lestre (lettre)
7527	3-right	grand	29 22 26 34 58 25 31 21 50 37	chancelier
7527	3-right	de sa propre	33 26 21 34	main
7527	3-right	luy	25 14 25 18 36 26 34 19	exeusant (excusant; 25 could be 29)
7527	3-right	il a pourtant solicite le	33 26 37 29 22 52 31	marchal (marechal)
7527	3-right	de luy faire le	36 25 37 33 50 34 19	serment
7527	3-right	quil	19 25 23 34	tegn (unclear spelling; likely tienne)
7527	3-right	avec	31 18 15	luy
7527	3-right	dans	19 35 18 31 33 26 31	tou l mal (tout le mal)
7527	3-right	ou	28 21 25 34	bien
7527	3-right	vous pouvez faire quelque chose	33 35 18 25 36 50	mouese (mauvaise)
7527	3-right	et cela	19 35 33 28 52 78	tombap (unclear ending; likely tombe)
7527	3-right	sur	33 35 15	moy
