line	glyphs	latin	unread	total
16	∂S9. ξξ. 9∂xSρ 9o2/ θSηdc 9θcηrθSηrSρ (6S∂c rη Xrcρ ξSrrr. 2S-	Aug. xx. parum post lunae plenilunium (quae in diem xviii. is-	0	11
17	-/rS2 ρcη2r2 rη<rXc8∂/) /xc2 Xrφφr<rθθrρ∂2 <oηSSθ2roηc2.	-tius mensis incidebat) tres difficillimas convulsiones.	0	6
18	rη 6Sox Sρ /cx/r∂ o2 rρθrS2 9cηc /o X∂Srcρ Xcξ/cx∂ρ <oηSSθ-	in quorum tertia os ipsius pene ad aurem dextram convul-	0	12
19	-2Sρ 6SoX ∂η/c ηSη6S∂ρ o82cxS∂Srρ. c∂Xcρ ηo</c ∂η/c ωoxdρ	-sum quod ante numquam observavi[m]. eadem nocte ante horam	0	10
20	r. XS∂c ∂θr∂c <oηSSθ2roηc2 2cX ρr/roxc2.	i. duae aliae convulsiones sed mitiores.	0	6
21	∂S9. ξξr. 9o2/ ωoxdρ 2c<SηXdρ ρdηc c/ ∂η/c 6Srη/dρ XS∂c ∂θr∂c	Aug. xxi. post horam secundam mane et ante quintam duae aliae	0	12
22	ρr/c2 <oηSSθ2roηc2. ∂η/c XSoXc<rρ∂ρ ωoxdρ ∂θr∂ Xrφφr<rθr2.  [margin: rS< 2S6Sc ξξξrr.]	mites convulsiones. ante duodecimam horam alia difficilis. [margin: huc usque xxxii.]	0	11
23	∂S9. ξξξr. ∂8θ2<θo/S2 [lighter ink, above rule]	Aug. xxxi. absolutus[?] [lighter ink, above rule]	0	3
24	2c9/. ξξr. Xrc c/ ∂η/c ωoxdρ 9xrρdρ ηo</r2 2c9/rρd ∂9oηr∂ 2cX ∂η 2dc<-	Sept. xxi. die et ante horam primam noctis septima[?] agonia sed an {?}-	1	14
25	-Scθ ∂θr∂ 9xd<cXcη/rd 9cXc <oηSSθ2roηcρ 2cX c/r∂ρ c9rθc92rd η∂/rSo.	-vel[?] alia praecedentia pede[?] convulsionem sed etiam epilepsia nativo[?].	2	10
26	2c9/. ξξSrr. 9o2/ ωoxdρ 2c<SηXdρ ρdηc c/ ∂η/c Srr. /xc2 ∂θr∂c ∂9oηr∂c. ++	Sept. xxvii. post horam secundam mane et ante vii. tres aliae agoniae.	0	13
27	[margin 1635/1636] ʒ∂η. ξξrrrr. 9o2/ ξSrr. 2c9/rρ∂η∂2 θr8cx∂/roηcρ ηo</c rη/cx	Ian. xxiiii. post xvii. septimanas liberationem nocte inter	0	10
28	ωoxdρ [ηoη∂ρ struck] Srrr c/ rξ. <oηSSθ2ro Xrφφr<rθr2. 29cx∂8∂ρ	horam [nonam struck] viii et ix. convulsio difficilis. sperabam	0	8
29	/∂ρcη 6SoX cScηcx∂/ cξ <ocη∂ ηrρr∂ 6S∂ρ 9o2/ <oηSSθ2roηcρ cSoρSr/.	tamen quod evenerat ex coena nimia quam post convulsionem evomuit.	0	11
30	[bottom edge trimmed/under mount] ... ∂ρ ηoη∂ρ	{?} ... [hor]am nonam	6	8
