# Fairservis 1992, The Harappan Civilization and its Writing, Appendix A; archive.org identifier fairservis-the-harappan-civilization-and-its-writing-1992 (leaves n158-n197; also the-harappan-civilization-and-its-writing)
# language: dra. Read from the page images of the Appendix A tables (Sign No. / Identification / Dravidian Equivalent / DED No. / Homophone / DED No. / Meaning).
# value = Dravidian equivalent as printed (alternatives separated by ' / '; 'hom:' = the homophone column). dedr = Fairservis's DED/DEDR numbers (first = equivalent, after ';' = homophone).
# gloss = his identification of the drawing, then '=>' his meaning. icit = ICIT glyph id matched by drawing against the ICIT render sheets; confidence sure/likely/unsure; unsure rows give candidates as a|b.
# page = printed page number (archive.org leaf in brackets). Fairservis cites seals by Marshall 1931 / Mackay 1937 (MD) numbers, not CISI numbers, so seal confirmation through corpus.tsv was not possible.
fcode	icit	confidence	value	gloss	dedr	page
A-15	125	likely	velaṉ; hom: vil(l)aṉ / vilambaṉ	a man with a bow and arrow => (hunter ?) archer (warrior ?); a calendrical designation 1st or 12th month (see P-12)	4555; 4449	155 [n164]
A-16a	146	likely	vil(l)aṉ; hom: vil	(a) a man with a bow => merchant ? variant of Q-15 ?	4449; 4448	155 [n164]
A-16b	146	likely	aḍaṉaṉ	(b) a man with a shield (same drawing as A-16a) => warrior (see H-9)	73	155 [n164]
A-17	127	likely	iravilaṉ	a man with two bows => an honorific title (combination ira- 'two' and velaṉ A-15); or Irbil(man)	see A-14	155 [n164]
A-18	111	likely	aḷa(v)aṉ / pāṉ (Ka); hom: pāmba, pāṇi(y)aṉ	a man with a container, but U as pot => recorder; potter (one who records/measures quantity, aḷa)	252, 4362	155 [n164]
A-19	112	likely	nūṟuvaṉ	a man with a mortar and pestle => miller	3089	155 [n164]
A-20	110	unsure	kōvaṉ	a man with a crucible => smith	1509	156 [n165]
A-21	122	likely	koṟa(tu)vaṉ / koṟivaṉ; hom: terms for goat/sheep grazing	a man with a pair of tongs or pincers => shepherd	1529; 1799, 1798, 69a	156 [n165]
A-22	130|131	unsure	kiriyaṉ; hom: forms of comb (comb-cippu, to shave-kiri, comb-cikkam)	a man with a comb => scribe	1352; 1341, 1305, 2059	156 [n165]
A-23	132|133	unsure	ni(r)yaṉ; hom: note DED 1794 kol kolli, 1773 killaṉ-smith?	a man holding fire (a brand?) => fire-maker? (see DED 2384, 2390; Possehl & Raval 1989 Rojdi Plate II: Irani(r); pn.?)	2389; 30221	156 [n165]
A-24	137|95	unsure	koḷagaṉ	a man with a recording stick or marked stick => record keeper (one who records by length, depth, amount)	1517	156 [n165]
A-25	98|100	unsure	irakoḷagaṉ; hom: (?) double an honorific	a man with two marked sticks => see A-24 (see A-17, A-11)		156 [n165]
A-26	96|131	unsure	nelaṉ / nil(r)aṉ	a man with a stalk of grain => farmer (of grain?), one who keeps order (in farming?) (see E-2, E-3)		156 [n165]
A-27	143	unsure	?	a man with an animal haunch => ? (only one example is known)		157 [n166]
A-28	346|340	unsure	moṟa-kāl / moṟa	a kneeling figure holding a container and a marked stick => cubit (one?); amount of quantity, depth & length	4093	157 [n166]
A-29	346|340	unsure	moṟa-kāl / moṟa	a kneeling figure holding a container => cubit; amount of quantity (depth?)	4093	157 [n166]
B-1	260|262	unsure	kōr	a chicken (hen) => (hen); rooster? variant MD 1931-207	1768	157 [n166]
B-2	279|278	unsure	cuc / cubba / cowe (Malto, Kurukh); hom: pīli-tail, pilli-sorcery, magic, piḷḷe-child	peacock => pīli tail; pilli sorcery, magic; piḷḷe child	2203; 3469, 3439, 3449	157 [n166]
B-3	278|279	unsure	cuc (see B-2)	peacock (with plume) (male) => see 7 peacock headdresses of MD 1937-430, etc. (see Sy-67)	2203	157 [n166]
B-4	268|264	unsure	cuc (see B-2)	peacock (spreading wings) => see B-2, B-3	2203	157 [n166]
B-5	952	sure	tārā; hom: tāra	duck (in pond) => a token of an unknown but certain value	2588; 2587	158 [n167]
B-6	297|298|250	unsure	kūc	the head of a shrieking or calling bird => (calling bird)	1551	158 [n167]
B-7	347|344	unsure	nāy / nari	a dog; jackal => (dog, jackal)	3022, 298/	158 [n167]
B-8		unsure	bāḷe; hom: bāḷvē	a fish (naturalistic, Kramrisch 1965 fig. d, not a script sign) => prosperity	4408 (764) (4316); 4402	158 [n167]
C-1	263|255	unsure	irā / ica (Malto) / eṟe (Ka); hom: irai / irugh (Br.) / ere (Ka.)	a prawn (shrimp) => food; master	440; 415, 448	158 [n167]
C-2	204|201	unsure	ī (?)	an insect => (?) used as demonstrative when initial in text	453; see 351	158 [n167]
C-3	285|242	unsure	ī (?) / īcal	an insect (ant ?) => (insect, ant)	453, 457	158 [n167]
C-4a	244	likely	pira; hom: piracam	bee (?) => meaning in combination honey (note shape of body, see L-3)	3614	159 [n168]
C-4b	244	likely	kōlā; hom: kola (in various forms)	flying fish (?) (same drawing as C-4a) => beauty, dance	1856; 1855	159 [n168]
D-1	66|900	unsure	kāl	a leg (of a man) => lineage (?); terminal syllable in astronomical & lineage etyma	1238	159 [n168]
D-2a	61|63|70	unsure	irukāl	two legs and body (of a man) => combined sign, a proper name (?), doubtful reading (see I-16, D-2b)		159 [n168]
D-2b	61|63|70	unsure	mēd, mēn / mēṭi, mēṇi	a body [(?) plow] => (body); note Tulu n <-> ṇ	4185, 4183	159 [n168]
D-3	920|921	unsure	ī-kāl	an insect leg => see C-2, C-3		159 [n168]
D-4	443|278	unsure	khosqa / kuṟaCv; hom: kuṟavaṉ ? with man sign	animal haunch or leg => a mountain tribe (see A-27)	1527; 1530	159 [n168]
D-5	495	likely	kam, kom; hom: kōṭu, kōṟ (Ka.), kōḍu (Tu. & Ka.), kōḍe (Te.)	a tusk (?) (rhinoceros horn) => horn; bull	1759; 1824, 1823	159 [n168]
D-6		unsure	marg; hom: see A-4	cattle horns (affix only; horns do not occur independently) => (horns)	3864	160 [n169]
D-7	410|409	unsure	ciṟai (Ta.) / eṟake (Ka.); hom: ciṟa (Ta.) / ere (Ka.)	wing or feather => illustrious; master (to be differentiated from L-9)	2133; 2131, 438	160 [n169]
E-1	413	likely	mara / man (n) / cāli; hom: see kāli (Ta. Ma.)	tree ((?) Acacia arabica) => cow (associated with cow-anthropomorph)	3856, 2041; 1243	160 [n169]
E-2	405	likely	nel(a); hom: nila-nela, also nira	stalk of grain => lunar month; order, line, row	3112; 3113, 3042	160 [n169]
E-3	390	likely	nel(a); hom: nila-nela	stalk of grain (abbreviated form) => lunar month (see E-2)	3112; 3113	160 [n169]
E-4	374|286	unsure	parti / pū	cotton plant; (?) a plant => as a formative of roots (see Q-7, Q-8)	3280, 3564	160 [n169]
E-5		unsure	parti	bud (or bole) of cotton plant (affix; does not occur independently) => (see E-4, J-2, Q-7; Q-7 as ār-371 DEDR, i.r. ara-cloth 318?)	3280	161 [n170]
E-6a	384	likely	araC; hom: ara	pipal leaf => head or high superior as in Chief or God ((not) royal in Harappan sense)	168; 167	161 [n170]
E-6b	382	likely	araC	pipal leaf (presumed to be a variant of E-6a) => head, chief (as E-6a)		161 [n170]
E-6c	388	unsure	araC (see E-6a)	pipal, affixed form of E-6a => affix probably marks the dative case (see P-7)		161 [n170]
F-1	808|832	unsure	pāC (pāṭu) / pōdu, poddu / pagal; hom: paṭu	sun, day => to set; forms of action to rise, do, obtain, etc. (see F-3, F-4; note 2371 (Malto) niṟu)	3724, 3151; 3190, 3191	161 [n170]
F-2	820	likely	tiṅ(gal); hom: tiṭṭu mound, tiṇṇai hillocks, tippai platform; tiṇ strong; tin to feed, eat	full moon => (moon; homophones mound, platform, strong, to gather, to feed)	2626; 2633, 2639, 2641, 2634, 2670a	161 [n170]
F-3	805|803	unsure	paṭu-nel(r)	sun affixed by grain sign (E-2) => setting sun, west (see F-4); rare sign, not to be confused with F-5	3190	162 [n171]
F-4	803	likely	paṭu-nel(r)	sun affixed by abbreviated grain sign E-2 => setting sun, west (see sun-niṟu note F-1)	2190	162 [n171]
F-5	806	likely	paṭu-vē	sun affixed by fire affix (see F-13) => rising sun, dawn, east (F-5 has short, even prongs)	3191	162 [n171]
F-6	920	likely	paṭu-kal; hom: paṭṭa-ppakal	sun on the horizon => dawn or day; sun as a lineage	3151; 3198	162 [n171]
F-7	900|921	unsure	pīṟai (Ta.); hom: pēr	crescent moon => great, night (calendar) (see A-16 bow or shield differs; see O-18 as number)	3622; 3613	162 [n171]
F-8	692|690	unsure	suk(k)V / cukke	star (a full cross with ends closed) => star (as lineage)	2175	162 [n171]
F-9	692|690	unsure	gāḷa; hom: gāḷ, kāl	a cross or hook => wind	1254; 1258, 1240	162 [n171]
F-10	51	likely	kāntoḷ / mētoḷ; hom: koṇṭal	rain (carrying pole; rain as 9-toḷ) => rain (if the bar is sky; but tal-head? see P-4, (2529))	4173; 1730	163 [n172]
F-11	55	likely	paṉi(r); hom: see O-16, N-2; pan-12 + nīr-water	rain (twelve strokes) => (rain)	3322; 3236, 3057	163 [n172]
F-12	380	likely	muccu (?)	cover, roof => covered bazaar (with H sign; see G-6)	4025	163 [n172]
F-13		unsure	vē	fire (only as affix ?) => fire (see F-14, A-23)	4540	163 [n172]
F-14	564|483	unsure	kāruvē; hom: see I-11	affix F-13 to I-11, tongs + fire => storm (black + fire); karu-monsoon, see Q-10		163 [n172]
F-15	850	unsure	pōtu / poddu; hom: poddu, pudu (Ka.)	small version of F-1 => be associated with partnership (? always with animals)	3724; 3709, 3684	163 [n172]
F-16	906	sure	mā ? / iruḷ (Ka.)	two crescent moons back to back, dark period => night, winter? dark period in the lunar month	3918, 2120	163 [n172]
F-17		unsure	eṟi-el; hom: used in bracketing but each part read separately (as with Q-1 vila for H-3; peru for F-7)	two crescent moons facing one another (brackets around signs) => day, light, summer, spring (see 2176 for B-2, B-3; also O-10, O-11)	732, 707	163 [n172]
G-1	575	likely	aṭṭa; hom: [maccu (Ku.)]	(on a platform) => platform (upper room, upper story)	83; 3782	164 [n173]
G-2	579|578	unsure	māḍa	structure, house (? variant of G-1) => (house)	3930a	164 [n173]
G-3	578|579	unsure	; hom: (kāve)	platform or building with fire => ? watchfire		164 [n173]
G-4	570	likely	nel-māḍa	platform or building with grain => granary		164 [n173]
G-5	361|360	unsure	bāk-il	gate or doorway to a house => (gate, doorway)	4386	164 [n173]
G-6	315	sure	aṅkaṇa; hom: aṅgaḍi	space between two poles => bazaar (?) courtyard (as different from G-7); see Mahadevan 1977-447, p. 449	30; 37	164 [n173]
G-7	894	unsure	vilaṅkaṇa; hom: see G-6	G-6 combined with bow or plough sign (but see DEDR App. 44) => bazaar (possible confusion with I-12)		164 [n173]
G-8		unsure	mane / manṟu	large open square or enclosure (basis for graphemes G-9 to G-15; does not appear in this form independently) => (enclosure); this eqn and its compounds as weights; confusion with K-14 small square	3911, 3913	165 [n174]
G-9	590	sure	tūṉ (but see DEDR App. 44); hom: *toḷ-*toṉ, toṟu	enclosure with pillar or pole => number 9, cow(s) (see N-10, O-15; Zvelebil 1977 pp. 35-36; Mahadevan 1983 'sacred filter': scoops or cups)	2780; 2912	165 [n174]
G-10	510	likely	toṟu toṇṭu; hom: toṭṭi	enclosure with two pillars or poles => cowpen or fold (also 3526 DEDR toṟtu)	2905; 2905, 2869	165 [n174]
G-11	632|630	unsure	maṉi(e) / maṉi nāl(u) / (possibly) Mandinalu; hom: mane, see G-12	enclosure with four marks => enclosure; G-11 to G-15 pair with the jar J-5, suggesting proper names with suffixed diacriticals (variants p. 100)	3911; 3911	165 [n174]
G-12	630|632|634	unsure	maṇi(y)ār / maṇiya (Ka.) / Maṉicāṟu (?) / six caru; hom: see G-8 (weight)	enclosure with six diacritical marks => note terms for superintendence; a prestigious title in Harappan? (probably drops c when used as suffix)	3825	165 [n174]
G-13	630|632|634	unsure	Maṉi(y)eṭṭu / Maṉi(y)eṇe; hom: see G-8	enclosure with eight diacritical marks => a proper name (see G-11, G-12)		166 [n175]
G-14	630|632|634|635	unsure	Maṉipela; hom: see G-8	enclosure with ten diacritical marks => a proper name (see G-11, G-12)		166 [n175]
G-15	640|639	unsure	Maṉivilār; hom: see G-8	enclosure with four verticals, two horizontals & the bow sign => a proper name (see G-11, G-12)		166 [n175]
G-16	615	likely	kūṭi; hom: kūṭu	enclosure divided into compartments => collect, store, storehouse or work area; usually double (irukūṭi, cf. 617)	1379; 1502	166 [n175]
G-17	636|621	unsure	kūṭi	enclosure divided into compartments (variant of G-16 ?) => house	1379	166 [n175]
G-18a	626	likely	kuṭi(y)ār / maṉi(y)ār	enclosure, square with 4 equal compartments marked => presumed pluralized form, perhaps many store rooms (see G-11)	1379, 3911	166 [n175]
G-18b	874|880|877	unsure	ūrār ? (see N-4)	enclosure, diamond-shaped => possible variant of G-18a		167 [n176]
G-19	420	likely	bēli; hom: bel, note velton (Ta)	a fence of poles => marriage (offerings); husband (paired with G-9 variant toṉ)	4556; 4561	167 [n176]
G-20	422|426	unsure	kāval / (note) I-16 kavar; hom: (note) bara (Tu), barabu; ka + bara kā < ka	a stockade => boundary; stockade	1192, 1113; 4301	167 [n176]
G-21	460	sure	muṟyāl; hom: (note) mucar, muka, muṟy	three conical structures => dairy, storage, liquid measure, buttermilk; dairy or other storage; top of conical dairy	4001; 4015, 4001, 4030	167 [n176]
G-22	605	likely	meṭṭu / meṭṭige; hom: meṭṭu	stairway or stairs => heap, accumulation of a commodity	4150; 4151	167 [n176]
G-23	410|409	unsure	(bēli ?)	short post with branch (U. Franke 1985 Pl. 1, Mohenjo-daro) => (note: is this a short version of G-20 or I-20?, i.e. bēli ?)		167 [n176]
H-1	892	likely	vil-ambu	bow and arrow => (bow and arrow); also ambila-rice? ambal grain DEDR 174; possibly syllabized as vil, as in villaṉ (see A-15 velaṉ)	4449, 150	167 [n176]
H-2	890	sure	vil; hom: vil	bow => sell, price, trade	4449; 4448	168 [n177]
H-3	900	likely	vil; hom: vil	bow without string, shield (A-16b) => sell, price, trade (can be confused with F-7 but this is reversed; take signs in context)	4449; 4448	168 [n177]
H-4	66	likely	am(b)(u); hom: am, ām, ām	arrow => nominative case ending?; water in calendric ref.?; calendar designation?	150; 158, 158S, 151	168 [n177]
H-5	520	sure	ār; hom: ār (Ka.)	a point or spear => be powerful; 3rd person singular suffix, honorific	314; 349	168 [n177]
H-6	896|898	unsure	maṟu ? / masu (Malto) / alagu (Ka.); hom: maḍu (Tulu), alaku (Ta.)	axe blade ((note) blade) => number	3889, 201; 3889, 202	168 [n177]
H-7	372|370	unsure	baḍu	(possibly ?) mace head, club, cudgel => (possibly ?) pestle in reverse, see A-19; floral bud, see E-5	4272	168 [n177]
H-8	31	likely	daṇḍi / daḍi; hom: daṇḍi	(possibly ?) staff, rod, spear => eminence (confusion with O-1 suggests these meanings viable only in A-13)	2459; 2449	169 [n178]
H-9	923	likely	aḍaṇa	a shield => (shield); possibly an elaboration of H-3, thus the anthropomorph	73	169 [n178]
H-10	924	likely	aḍaṇa	a shield (hatched) => possibly not a variant of H-9 but too few examples to confirm; A-16b may be shield bearer, warrior	73	169 [n178]
I-1	61|480	unsure	kāṟu / karu; hom: kaṟu, kāṟ, kaṟi, karuṟ (note)	part of pincers; adze, hoe; (?) drumstick (see M-2, Q-10) => black; darkness; black (Tu.) rain; tool (see I-11)	1232; 1175, 1073c, 1073c, 1084	169 [n178]
I-2	435|436	unsure	koṉ / koṭu; hom: kūṭu, koṭu	hook => to collect; to give (as with food; see C-1 irakoṭu-to give food)	1709a; 1562, 1708	169 [n178]
I-3	440	sure	koy	sickle => to reap, or reaping (in context)	1763	169 [n178]
I-4	465	likely	kuṟu (Ka.) also uṟ; hom: kuṟi	ploughshare => dig (plough) (combine with īr (461) drag plough)	1785, 688; 1511	170 [n179]
I-5	475|472|470	unsure	kuṟu-kī; note: I-4 ru(u)-to plough 688, I-9 īr-to comb 5357 DEDR, vāra-land share 5359 DEDR	I-4 combined with L-9 => to cut, as in writing, therefore "to write"? (more than three strokes in some examples)		170 [n179]
I-6	706	likely	nūṟu (to grind); hom: nūṟu	mortar and pestle => hundred, a term used to mean many or innumerable	3089; 3090	170 [n179]
I-7		unsure		pestle (does not occur as an independent sign; see I-6, A-19, E-4, H-7) =>		170 [n179]
I-8	717	likely	kōve; hom: cembu	a crucible => as a commodity, i.e., copper	1509; 2282	170 [n179]
I-9	611	likely	tāṟi; hom: tāli	winnowing fan => the seal-tablet as tāli marriage token	2611; 2594	170 [n179]
I-10	621	likely	āyā-āy (Ka.); hom: āya (Tu.), aya (Ka.), āy-tāyi, āy, (note) aiya	a winnowing tray => master; measure; (mother) father; wise, judge "The Wise", exclamation; honorific ending for elders in 3rd person	306; 163, 311, 308, 306, 780	170 [n179]
I-11	550	likely	koṟaḍu / kuṟaḍu / kāṟu / kūṭu / kuṟa; hom: koṟ-aḍu, gōru, mēṭi(?), kaṟu, kāṟ, kaṟ, (with) kāṟ(u)gal-monsoon, kare, kara	tongs (also short forms; see A-21, Q-10, Q-14) => shepherd, herder, sheep (with A-12: plough? better herd(s) and ploughed fields); gather, draw in; plough tail 5079 DEDR; storm, black, rain; rainy season; rain; social division, parish, Harappan clan; (verbal form to collect, assemble, see I-2)	1529, 1232, 1562, 1513; 1798, 1799, 69a, 1847, 1175, 1073b, 1253, 1088	171 [n180]
I-12	65|605	unsure	uṟu (uṟ)	plough => to plough, ploughing, ploughed (see G-7 for a misidentification, Mahadevan 1977 p. 449)	592	171 [n180]
I-13	527|526	unsure	uṟu(uṟ) / mēṭi	plough, plough tail (?) => see I-12; a short form of I-12 ? (5079 DEDR mēḍa - chief, 5091 mēḍa - basketmaker 5092 DEDR)	592, 5079	171 [n180]
I-14	682|681	unsure	gāḷatūṉ (combined form)	wind pole (Chanhu-daro Pl. LII-1) => see G-9 and F-9, but only a few doubtful examples are known		171 [n180]
I-15	81|682	unsure	gāḷa(ṭṭ)ūga	wind pole with conical weight affix => an affixed form of I-14 (see A-11, K-6); does tūga contract with tūṉ? "suspended weight wind pole", windmill (?)		172 [n181]
I-16	64	sure	kavar; hom: kavar	forked pole => to seize	1113; 1114	172 [n181]
I-17	321|322	unsure	pal / palu; hom: pal	harrow => many, the number 10 (see Zvelebil 1977 p. 36)	3228; 3289, 3236	172 [n181]
I-18		unsure	kā / acci / ūṭu (see Q-4); hom: see A-10, ajje, ūṭu	carrying pole (?); (?) woof (in weaving) (does not occur independently, confined to A-10?) => inside, middle (as affix); see Q-4	1193, 45, 634; 46, 633	172 [n181]
I-19		unsure	mē(l)v; hom: see A-6	sky (a form of I-20 ?) (affix only) => excellence, superior	4173	172 [n181]
I-20		unsure	kāvaḍi; hom: see A-7	carrying pole with attached cords in nooses (does not occur independently; see A-7, A-6) =>	1193	172 [n181]
J-1	700	sure	aḷa / bāṉe; hom: bāṉ	container (pot, basket ?) used to measure quantity => container, quantity, pottery (see A-18)	252, 3394; 4362	172 [n181]
J-2	775|785|783	unsure	partiyaḷa / aḷa-parti (?)	quantity of cotton (?) (pot with three loops) => (quantity of cotton)		173 [n182]
J-3	786|765|760	unsure	piri-aḷa / nūlaḷa	quantity of woven cloth, spun thread (?) => (see J-1, L-6, L-5)		173 [n182]
J-4	760|703	unsure	ner-aḷa	quantity of grain (pot with marks inside) => (see E-3, J-1)		173 [n182]
J-5	740	sure	āṇ/aṉ	pot with handles => 3rd person singular honorific (ending)		173 [n182]
J-6	741	likely	aṇ-ā	pot J-5 with affix (see P-1) => up, upper; up river, north (in context)	96	173 [n182]
J-7	752	likely	cemb-aḷa (see A-20, J-1)	quantity of metal (?) => most examples on copper tablets, probably as tokens for storage records		173 [n182]
J-8	585|391	unsure	nē/ney; hom: ney	oil lamp; oil (sesame) => to weave, weaving	3104; 3103	173 [n182]
J-9	760|744	unsure	ka(v)aḷ	container J-1 with I-16 affixed => controller, "seizer of", modifies what precedes it in the text; compound: place where commodities are gathered?		174 [n183]
K-1	482	likely	maṭṭa, maṭa / mata (Ka.) / maḍu (Ka.); hom: maṭu	carpenter's (?) square or rule => measure (linear); to unite, join (pairing indicates measure in bricklaying, woodwork, etc.)	3811, 3808	174 [n183]
K-2	484	likely	maṭṭa	measuring rule (hatched) => measure; pairing indicates (linear) measure for cloth	3811	174 [n183]
K-3	31|600	unsure	kōl; hom: kōl	measuring stick => length of stick in measurement (?) (see A-13, H-8)	1852; 1854	174 [n183]
K-4	417	unsure	koḷaga; hom: kōl, goy (Malt.)	measuring stick for depth capacity => measure of capacity, measure	1517; 1843	174 [n183]
K-5	417	unsure		measuring stick for depth capacity => a variant of K-4		174 [n183]
K-6a	503	likely	neṟa / niṟa; hom: nel	a heap or pile, "fullness, abundance" => (heap of) grain (see E-2, E-3)	3049; 3112	174 [n183]
K-6b	504	sure	tūga / tūka; hom: see A-11	suspended conical weight => "sky high" heap (see I-19)	2777a	174 [n183]
K-7	501	likely	tūṅku / tūgu (Ka.); hom: *toḷ, *tuṇ (Proto-Dravidian)	(hatched cone) => ninth month (regularly pairs with E-2); corpus: 501+405 adjacent 29x fits "pairs with E-2"	2777a; see O-14, O-15	175 [n184]
K-8	500	likely		K-6a variant (?) => (regularly pairs with J-6; corpus: 500+741 adjacent 11x)		175 [n184]
K-9	161|160	unsure	takkaḍi	weighing scales => to weigh, or as substantive	2437	175 [n184]
K-10	171	likely	takkaḍi; hom: takkar	weighing scales => worthy (also see K-9)	2437; 2435	175 [n184]
K-11	545|540	unsure	tūṅku / tūgu	scale pans of weighing scale => weight, as a substantive paired with number signs	2777a	175 [n184]
K-12	604|625	unsure	aṟe	one-half (?) => (see I-10)	192	175 [n184]
K-13	603	unsure	īruvara	two-quarters (?) => (see I-10)	4301	175 [n184]
K-14	625	unsure	vara	one-quarter (small square) => (see I-10)	4301	175 [n184]
K-15	380	unsure	okka / or(o); hom: okka, or(u)	fingernail mark (small arc) => number unit for metal (found on metal objects in multiple groups)	783, 479; 834a,b	176 [n185]
K-16	690	likely	paku; hom: see payal, pāyu, pāṭi, pāl, pari, paṟi	a division of four units, or two units (?) => share, division (see V in P-3 diacritical mark)	3154; 3247, 3364, 3371, 3267, 3317	176 [n185]
K-17	165	likely	sura(a)ḷi / kuruḷ (Tu.) / guṇḍu (Ka.); hom: kuṟu, kuṟu, gaṇḍa	spiral curl, (also) *assemble => assemble; curl; brave	2211, 1494, 1513; 1513, 1511, 986	176 [n185]
L-1	337	likely	javaḷi	cloth sewn, or prepared => (cloth)	1979	176 [n185]
L-2	335	likely	guḍḍe; hom: guḍḍe	cloth (in general) => heap, pile, large quantity	1401; 1402	176 [n185]
L-3		unsure	piri	loop or twist (in weaving) (not attested as independent grapheme; regular affix, see L-6, L-7) =>	3436	176 [n185]
L-4	231|233|287	unsure	piri / pol; hom: see L-3, poli	twist or loop with infilling; sew (?) stitching across the loop => increase, abundance, crops (is affixed with P-4)	3720; 3716	177 [n186]
L-5	518|370	unsure	nūl; hom: see J-3	twist or loop on pole => yarn, thread (two forms; note: are these identical)	3087	177 [n186]
L-6	786|765|760	unsure		see J-3 and L-5 (pot with twisted-loop affixes) =>		177 [n186]
L-7	297|298	unsure	magga; hom: maga, makkaḷ	a loom with twists => son, children (simple variants; see L-3)	3775; 3768	177 [n186]
L-8	617|615	unsure	val / iravāḷar / īrava (?) eṟava; hom: val, vaḷ (Ta.), vari (Ta.)	basket, matting or net weave (always doubled) => net; lash; bind, tie (maker of baskets?)	442; 4326, 4341, 4357	177 [n186]
L-9	400	likely	cīppu / cikkam / sīr-īr; hom: kiri, kīṟu, sīre	comb => write "this mark"; scratch; kī-dative of person (?); as terminal in texts "belongs to"; women's cloth (see A-22)	1341, 2059, 2158; 1305, 1352, 2161	177 [n186]
L-10	215	likely	malaku; hom: mallaru	beads => chief, important, great	3873; 3870	177 [n186]
L-13	808|812	unsure	vaḷe/baḷe; hom: vaḷ, vāḷ	bangle, bracelet => beauty; splendor (?)	4348; 4340, 4406	178 [n187]
M-1	896	likely	pāṇ	lute or lyre => song, music	3351	178 [n187]
M-2	543|544	unsure	paṟai	a rare form drum; M-3 measure (?) => (see M-3)	3319	178 [n187]
M-3	540	likely	paṟai; hom: para, paradu	drum => communicate; trade	3319; 3255, 3318	178 [n187]
M-4	545	likely	muracu; hom: muṟā, ?	a triple drum => all, whole	4076, 4092; 4092, 4095	178 [n187]
N-1	455	likely	kuṟ	mountain (s) => (mountain); universal sign	1530	178 [n187]
L-11	216	likely	māle; hom: male, malya	beads on string, necklace (drawing from summary chart p. 151: stacked beads) => great, superior	3954; 3870	178 [n187]
L-12	371	likely	tāli/taḷi	a bead, or bead on a necklace (drawing from summary chart p. 151: bead on a string) => special bead worn by married women	2594	178 [n187]
N-2	29|59	unsure	nīr/īr	river, stream (rows of short wavy strokes) => water (see F-10, F-11)	3057	179 [n188]
N-3	927	likely	nīr/īr	river, stream (wavy lines) => (water); motif occurs on painted pottery at pre-Harappan borderland sites	3057	179 [n188]
N-4	850|861	unsure	ūr (note: mane)	place => used as classifier for kinds of settlement (see N-5, N-6)	643, 3911	179 [n188]
