# Fairservis 1992, The Harappan Civilization and its Writing, Appendix A
# language: dra. Built by build_fairservis.py from keys/fairservis1992_raw.tsv (sure/likely matches); value = his Dravidian equivalent, first alternative.
# sign	value	gloss
621	āyā-āy	I-10 a winnowing tray => master; measure; (mother) father; wise, judge "The Wise", ex
626	kuṭiyār	G-18a enclosure, square with 4 equal compartments marked => presumed pluralized form, 
690	paku	K-16 a division of four units, or two units (?) => share, division (see V in P-3 diac
700	aḷa	J-1 container (pot, basket ?) used to measure quantity => container, quantity, potte
706	nūṟu	I-6 mortar and pestle => hundred, a term used to mean many or innumerable
717	kōve	I-8 a crucible => as a commodity, i.e., copper
740	āṇ	J-5 pot with handles => 3rd person singular honorific (ending)
741	aṇ-ā	J-6 pot J-5 with affix (see P-1) => up, upper; up river, north (in context)
752	cemb-aḷa	J-7 quantity of metal (?) => most examples on copper tablets, probably as tokens for
798	paṭu-kāṟu	Q-10 F-1 combined with I-11 => monsoon, southwest
803	paṭu-nelr	F-4 sun affixed by abbreviated grain sign E-2 => setting sun, west (see sun-niṟu not
806	paṭu-vē	F-5 sun affixed by fire affix (see F-13) => rising sun, dawn, east (F-5 has short, e
820	tiṅgal	F-2 full moon => (moon; homophones mound, platform, strong, to gather, to feed)
840	*eṇ	O-13 number 8 (two interlocked ovals) => see O-12
861	pāl-ūr	N-5 settlement (village or town) => (settlement)
880	tiṇ-ūr	N-6a settlement (urban) => a proper name for an urban settlement; eminence; elevation
890	vil	H-2 bow => sell, price, trade
892	vil-ambu	H-1 bow and arrow => (bow and arrow); also ambila-rice? ambal grain DEDR 174; possib
896	pāṇ	M-1 lute or lyre => song, music
900	vil	H-3 bow without string, shield (A-16b) => sell, price, trade (can be confused with F
906	mā	F-16 two crescent moons back to back, dark period => night, winter? dark period in th
920	paṭu-kal	F-6 sun on the horizon => dawn or day; sun as a lineage
923	aḍaṇa	H-9 a shield => (shield); possibly an elaboration of H-3, thus the anthropomorph
924	aḍaṇa	H-10 a shield (hatched) => possibly not a variant of H-9 but too few examples to conf
927	nīr	N-3 river, stream (wavy lines) => (water); motif occurs on painted pottery at pre-Ha
952	tārā	B-5 duck (in pond) => a token of an unknown but certain value
