# Fairservis 1992, The Harappan Civilization and its Writing, Appendix A (with unsure matches)
# language: dra. Built by build_fairservis.py from keys/fairservis1992_raw.tsv (sure/likely/unsure matches); value = his Dravidian equivalent, first alternative.
# sign	value	gloss
361	bāk-il	G-5 gate or doorway to a house => (gate, doorway)
367	ambara	Q-9 half of E-6 combined with H-4 => court, open area by a "temple" or "temple" grou
371	tāli	L-12 a bead, or bead on a necklace (drawing from summary chart p. 151: bead on a stri
372	baḍu	H-7 (possibly ?) mace head, club, cudgel => (possibly ?) pestle in reverse, see A-19
374	parti	E-4 cotton plant; (?) a plant => as a formative of roots (see Q-7, Q-8)
380	muccu	F-12 cover, roof => covered bazaar (with H sign; see G-6)
382	araC	E-6b pipal leaf (presumed to be a variant of E-6a) => head, chief (as E-6a)
384	araC	E-6a pipal leaf => head or high superior as in Chief or God ((not) royal in Harappan 
388	araC	E-6c pipal, affixed form of E-6a => affix probably marks the dative case (see P-7)
390	nela	E-3 stalk of grain (abbreviated form) => lunar month (see E-2)
400	cīppu	L-9 comb => write "this mark"; scratch; kī-dative of person (?); as terminal in text
405	nela	E-2 stalk of grain => lunar month; order, line, row
410	ciṟai	D-7 wing or feather => illustrious; master (to be differentiated from L-9)
413	mara	E-1 tree ((?) Acacia arabica) => cow (associated with cow-anthropomorph)
415	kiṟ-a	Q-11 L-9 turned to horizontal with affix P-1 (comb on post) => of below, downriver, s
416	irukiṟā	Q-12 Q-11 doubled stylistically => a proper name (?) Irukiṟā
417	koḷaga	K-4 measuring stick for depth capacity => measure of capacity, measure
420	bēli	G-19 a fence of poles => marriage (offerings); husband (paired with G-9 variant toṉ)
422	kāval	G-20 a stockade => boundary; stockade
435	koṉ	I-2 hook => to collect; to give (as with food; see C-1 irakoṭu-to give food)
440	koy	I-3 sickle => to reap, or reaping (in context)
443	khosqa	D-4 animal haunch or leg => a mountain tribe (see A-27)
455	kuṟ	N-1 mountain (s) => (mountain); universal sign
460	muṟyāl	G-21 three conical structures => dairy, storage, liquid measure, buttermilk; dairy or
465	kuṟu	I-4 ploughshare => dig (plough) (combine with īr (461) drag plough)
475	kuṟu-kī	I-5 I-4 combined with L-9 => to cut, as in writing, therefore "to write"? (more than
480	talV	P-4 head, an affix; an independent sign also (caret) => head, superior, top, etc., a
482	maṭṭa,	K-1 carpenter's (?) square or rule => measure (linear); to unite, join (pairing indi
484	maṭṭa	K-2 measuring rule (hatched) => measure; pairing indicates (linear) measure for clot
495	kam,	D-5 a tusk (?) (rhinoceros horn) => horn; bull
501	tūṅku	K-7 (hatched cone) => ninth month (regularly pairs with E-2); corpus: 501+405 adjace
503	neṟa	K-6a a heap or pile, "fullness, abundance" => (heap of) grain (see E-2, E-3)
504	tūga	K-6b suspended conical weight => "sky high" heap (see I-19)
510	toṟu	G-10 enclosure with two pillars or poles => cowpen or fold (also 3526 DEDR toṟtu)
518	nūl	L-5 twist or loop on pole => yarn, thread (two forms; note: are these identical)
520	ār	H-5 a point or spear => be powerful; 3rd person singular suffix, honorific
527	uṟuuṟ	I-13 plough, plough tail (?) => see I-12; a short form of I-12 ? (5079 DEDR mēḍa - ch
540	paṟai	M-3 drum => communicate; trade
543	paṟai	M-2 a rare form drum; M-3 measure (?) => (see M-3)
545	tūṅku	K-11 scale pans of weighing scale => weight, as a substantive paired with number sign
550	koṟaḍu	I-11 tongs (also short forms; see A-21, Q-10, Q-14) => shepherd, herder, sheep (with 
555	karumāṭa	Q-14 combination of I-11 and K-1 => united clans; great buffalo (?)
564	kāruvē	F-14 affix F-13 to I-11, tongs + fire => storm (black + fire); karu-monsoon, see Q-10
570	nel-māḍa	G-4 platform or building with grain => granary
575	aṭṭa	G-1 (on a platform) => platform (upper room, upper story)
579	māḍa	G-2 structure, house (? variant of G-1) => (house)
585	nē	J-8 oil lamp; oil (sesame) => to weave, weaving
590	tūṉ	G-9 enclosure with pillar or pole => number 9, cow(s) (see N-10, O-15; Zvelebil 1977
595	tuṟe	N-10 sign for place (?) (hatched box on pole) => (place); can be confused with G-9
603	īruvara	K-13 two-quarters (?) => (see I-10)
604	aṟe	K-12 one-half (?) => (see I-10)
605	meṭṭu	G-22 stairway or stairs => heap, accumulation of a commodity
611	tāṟi	I-9 winnowing fan => the seal-tablet as tāli marriage token
615	kūṭi	G-16 enclosure divided into compartments => collect, store, storehouse or work area; 
617	val	L-8 basket, matting or net weave (always doubled) => net; lash; bind, tie (maker of 
621	āyā-āy	I-10 a winnowing tray => master; measure; (mother) father; wise, judge "The Wise", ex
625	vara	K-14 one-quarter (small square) => (see I-10)
626	kuṭiyār	G-18a enclosure, square with 4 equal compartments marked => presumed pluralized form, 
630	maṇiyār	G-12 enclosure with six diacritical marks => note terms for superintendence; a presti
632	maṉie	G-11 enclosure with four marks => enclosure; G-11 to G-15 pair with the jar J-5, sugg
636	kūṭi	G-17 enclosure divided into compartments (variant of G-16 ?) => house
640	Maṉivilār	G-15 enclosure with four verticals, two horizontals & the bow sign => a proper name (
682	gāḷatūṉ	I-14 wind pole (Chanhu-daro Pl. LII-1) => see G-9 and F-9, but only a few doubtful ex
690	paku	K-16 a division of four units, or two units (?) => share, division (see V in P-3 diac
692	sukkV	F-8 star (a full cross with ends closed) => star (as lineage)
700	aḷa	J-1 container (pot, basket ?) used to measure quantity => container, quantity, potte
702	ilaḷ	Q-15 combination of J-1 and P-2 => a quantity, i.e. how many
703	munaḷ	Q-16 combination of J-1 and O-3 => a proper name (?) Munaḷ; foremost in quantity or a
706	nūṟu	I-6 mortar and pestle => hundred, a term used to mean many or innumerable
717	kōve	I-8 a crucible => as a commodity, i.e., copper
740	āṇ	J-5 pot with handles => 3rd person singular honorific (ending)
741	aṇ-ā	J-6 pot J-5 with affix (see P-1) => up, upper; up river, north (in context)
742	aṇ-il	Q-17 combination of J-5 and P-2 => high place; a proper name (?) Aṇil
752	cemb-aḷa	J-7 quantity of metal (?) => most examples on copper tablets, probably as tokens for
760	ner-aḷa	J-4 quantity of grain (pot with marks inside) => (see E-3, J-1)
775	partiyaḷa	J-2 quantity of cotton (?) (pot with three loops) => (quantity of cotton)
786	piri-aḷa	J-3 quantity of woven cloth, spun thread (?) => (see J-1, L-6, L-5)
798	paṭu-kāṟu	Q-10 F-1 combined with I-11 => monsoon, southwest
803	paṭu-nelr	F-4 sun affixed by abbreviated grain sign E-2 => setting sun, west (see sun-niṟu not
805	paṭu-nelr	F-3 sun affixed by grain sign (E-2) => setting sun, west (see F-4); rare sign, not t
806	paṭu-vē	F-5 sun affixed by fire affix (see F-13) => rising sun, dawn, east (F-5 has short, e
808	pāC	F-1 sun, day => to set; forms of action to rise, do, obtain, etc. (see F-3, F-4; not
820	tiṅgal	F-2 full moon => (moon; homophones mound, platform, strong, to gather, to feed)
832	pati	N-11 seal imprint, sealing, to seal (distinctly slender, oval shaped) => see F-1 to F
840	*eṇ	O-13 number 8 (two interlocked ovals) => see O-12
850	pōtu	F-15 small version of F-1 => be associated with partnership (? always with animals)
861	pāl-ūr	N-5 settlement (village or town) => (settlement)
874	ūrār	G-18b enclosure, diamond-shaped => possible variant of G-18a
879	nālupaliyūr	N-6b settlement (urban?) => settlement, town
880	tiṇ-ūr	N-6a settlement (urban) => a proper name for an urban settlement; eminence; elevation
890	vil	H-2 bow => sell, price, trade
892	vil-ambu	H-1 bow and arrow => (bow and arrow); also ambila-rice? ambal grain DEDR 174; possib
894	vilaṅkaṇa	G-7 G-6 combined with bow or plough sign (but see DEDR App. 44) => bazaar (possible 
896	maṟu	H-6 axe blade ((note) blade) => number
900	pīṟai	F-7 crescent moon => great, night (calendar) (see A-16 bow or shield differs; see O-
906	mā	F-16 two crescent moons back to back, dark period => night, winter? dark period in th
920	ī-kāl	D-3 an insect leg => see C-2, C-3
923	aḍaṇa	H-9 a shield => (shield); possibly an elaboration of H-3, thus the anthropomorph
924	aḍaṇa	H-10 a shield (hatched) => possibly not a variant of H-9 but too few examples to conf
927	nīr	N-3 river, stream (wavy lines) => (water); motif occurs on painted pottery at pre-Ha
952	tārā	B-5 duck (in pond) => a token of an unknown but certain value
