# corrections to transcription/156r.txt, checked against pages/f156r.jpg with the known key (22 Sept 2026)
# x = looped/tailed x-sign (e); r = the compact bold x/r-like sign without the tail (n)
line	old	new	reason
8	S+xhxios	dS+rhxioS	delta (d) at the start omitted; sign after + compact r; final ſ is looped (S); grandeur
8	HS:ppHQxppxxQ	HS:ppHQxppxrQ	x->r: sign before Q compact r; promptement
9	SxdxWWxmm	SxdxWWxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
9	QixxffeQ	QixrffeQ	x->r: 4th sign compact r; tiennent
10	ffxQSx	ffrQSx	x->r: sign after ff compact r; entre
10	DppimDx	DppimDr	x->r: last sign compact r
11	xx	rx	x->r: first sign compact r; ne
11	Q+ifgxxQ	Q+ifgxrQ	x->r: sign before Q compact r; taichent
11	d+idxxs	d+idrxs	x->r: sign after the second d compact r; gaigner
12	+zo::iS	+zo:iS	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
12	mmxf::zosmm	mxf:zosm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
13	mmx	mx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
13	+mmmmxzoSxmm	+mmxzoSxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
13	QixxxxQ	QixrxrQ	x->r x2: 4th and 6th signs compact r; tiennent
13	hioxd	hioxrd	a compact r stands before the final d (omitted)
13	HsDxfx	HsDrfx	x->r: sign after D compact r; prince
14	TzoxWTzoxmm	TzoxWTzoxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
14	xmmQS+xdixSmm	xmQS+rdixSm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r: sign after + compact r; estrangiers
14	f::zommQx	f:zomQx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
15	f+xQ:xmm	f+rQ:rm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r x2: after + and after :; cantons
15	dxxxiox	dxrxiox	x->r: 3rd sign compact r; Geneve
16	pp+Dxmm	pp+Drm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r: sign after D compact r; mains
16	ffxQSx	ffrQSx	x->r: sign after ff compact r; entre
16	HSDxfx	HSDrfx	x->r: sign after D compact r; prince
17	zoDWWxmm	zoDWWxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
17	nn+nnnnxioSxxQ	nn+nnnnxioSxrQ	x->r: sign before Q compact r; s'asseurent
18	7:SQxmm	7:SQxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
18	fxmmQx	fxmQx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
18	7sx.xQixSx	7sx.rQixSx	x->r: sign before Q compact r; frontiere
19	xmmQ	xmQ	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
19	QSxmmxxfxmmmm+iSx	QSxmrxfxmm+iSx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r: 5th sign compact r; tresnecessaire
19	dzoxxxx	dzoxxrrx	the word has seven signs: d zo x x r r x (two compact r); Guyenne
20	zo::mmQSx	zo:mQSx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
20	S+xhxzoS	dS+rhxzoS	delta (d) at the start omitted; sign after + compact r; grandeur
21	+mmnnxzoS+xQ	+mnnxzoS+rQ	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r: sign before Q compact r; asseurant
21	mmx	mx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
21	hiWWidxppxxQ	hiWWidxppxrQ	x->r: sign before Q compact r; diligemment
22	ppxxxffmm	ppxrxffm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r: 3rd sign compact r; menees
22	QxWWxmm	QxWWxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
22	S+xh3	dS+rh3	delta (d) at the start omitted; sign after + compact r; grands
23	DxQxWWidxxfxmm	DrQxWWidxrfxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups; x->r x2: 2nd sign and sign before f; intelligences
23	Q+xQ	Q+rQ	x->r: sign after + compact r; tant
23	hxxhS:ifQ3	hxrhS:ifQ3	x->r: 3rd sign compact r; (d')endroicts
24	H::zoSS+	H:zoSS+	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
24	xx	rx	x->r: first sign compact r; ne (first of two "xx" on the line)
24	+hioxxeS	+hioxreS	x->r: 5th sign compact r; advenir
24	xx	xr	x->r: second sign compact r; en (second "xx" on the line)
25	xxx	rxr	x->r x2: first and last signs compact r; n'en
25	+zo+xQ	+zo+rQ	x->r: sign before Q compact r; avant
26	xff	rff	x->r: first sign compact r; en
28	pp:xnnDxzos	pp:rnnDxzos	x->r: sign after : compact r; monsieur
28	pp:x	pp:r	x->r: compact r; mon
28	Hs:fg+Dx	Hs:fg+Dr	x->r: last sign compact r; prochain
29	Hzoemm	Hzoem	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
29	zo:emiDx	zo:emiDr	x->r: last sign compact r; voisin
30	D:zosmm	D:zosm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
30	Hzoxmm	Hzoxm	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
30	mm+hifQx	m+hifQx	minim/dot doubling: this page's transcriber wrote one 3-minim group as 'mm' (two as 'mmmm') and one dot pair as '::'; the image shows single groups
30	zoxxzox	zoxrzox	x->r: 3rd sign compact r; venue
