# Source: https://github.com/mayig/indus-valley-script-corpus (MIT licence, commit ad2f1e2), a digitisation
# of Parpola et al., Corpus of Indus Seals and Inscriptions. Signs are Parpola numbers in reading order.
parpola	description	mahadevan
P043	Deer facing to the right (see also P303)	M050
P044	Deer facing to the left	M050
P045	Cow's leg with horizontal hatching	M084
P046	Cow's leg with horizontal hatching, bracketed by angled vertical lines	M085
P047	Vertical line with rounded and hatched decoration at the middle, capped by a caret hat	M398
P048	Fish with no arms, caret hat, diagonal hatching throughout	M075
P049	Fish with no arms and no other decoration	
P050	Fish with no other decoration	M059
P051	Fish with four small vertical strokes around the four corners	M060
P052	Fish and 'table' with four small vertical strokes around the four corners, 'table' has a small box on top	M061
P053	Simple fish inside parentheses, with a small tooth coming off the top right or the right paren	M062
P054	Simple fish and bird inside parentheses	M064
P055	Simple bird and fish inside parentheses	M064
P056	Fish with a small vertical stroke in the body	M070
P057	Fish with a small vertical stroke in the body, caged by four small vertical strokes	M071
P058	Fish with a horizontal line through body	M072
P059	Fish with a horizontal line through body, caged by four small vertical lines	M073
P060	Fish with a caret shaped hat	M065
P061	Fish with a caret shaped hat, caged by four small vertical strokes	M066
P062	Fish with extra whiskers on cheeks	M067
P063	Fish with extra whiskers on cheeks, caged by four small vertical strokes	M068
P064	Fish with extra legs	M074
P065	Fish with bird wings and a three feather tail	M083
P066	Semi-realistic bird with no wings	M076,M077,M078
P067	Large left and right parentheses surrounding an upward-pointing bird with no wings	M081
P068	Duck in circular pond	M082
P069	Semi-realistic bird with no wings, swan's neck pointing backwards	M079
P070	Upward-pointing bird with wings	M080
P071	Leftward-pointing bird with vertical tail	M076
P072	Leftward-pointing bird with rooster tail	
P073	Unknown asymmetric animal? Perhaps a fish with asymmetric fins and legs?	M051
P074	Unknown asymmetric animal? Perhaps a fish with asymmetric fins and legs? Attached on left to a tall vertical stroke	M052
P075	Leaf with 'pincers' coming off the right, possibly with small stroke legs off top and bottom of leaf	M053
P076	Squashed spider, with right two legs slightly more away from the body	M054,M055
P077	Two stacked leaves, with ladder going up and to the right from the center	M412
P078	Two stacked half-leaves (just the right half), with long stroke going up and to the right from the center	M310
P079	Two stacked leaves	M410
P080	Two stacked leaves, connected on left to a tall vertical stroke	M413
P081	Serif'd three sided hat, over two small dots connected by a diagonal line	
P082	Two stacked leaves, two inverted caret legs on each leaf, and wings pointing away from each other on each leaf	M057
P083	Two stacked leaves, with lines coming away on the right of each leaf	M056
P084	Oval with several short strokes coming off the bottom, and a very small tree-like shape at the top.	M395
P085	Singly, symetrically bifurcated tall vertical stroke	M161
P086	Simple tree with branches at the top	M161,M162,M167,M168,M169
P087	Simple tree with branches at the top, caged in four pairs of small vertical strokes	M164
P088	Simple tree with branches at the top, with a pitchfork head at either top or bottom	M165,M166
P089	Three pronged tree with caret hat	M163
P090	Tall vertical stroke, with M shaped diagonal wiggle through middle	
P091	Horizontal line with multiple lines out the top, lines or U out the bottom	M174,M175
P092	Pitchfork with tines	M171
P093	Two pitchforks with tines, facing each other vertically	M172
P094	Pitckfork with two vertical tines on ends, one triangular tine in the middle	
P095	Pitckfork with two stacked heads	M173
P096	U where one arm has a double headed pitchfork, the other is a tree symbol	M348
P097	Pitckfork with two stacked heads, inside a rectangular box, possibly with a small tooth off the right edge of the box	
P098	Vertical line with small horizontal lines coming off one side across the entire height	M176
P099	Vertical line with small horizontal lines crossing it across the entire height	M177
P100	Wheat shaft. Vertical stroke with upward pointing diagonal strokes on both sides, going the full length of the shaft	M168
P101	Wheat shaft. Vertical stroke with upward pointing diagonal strokes on both sides, but leaves only at the top	M167
P102	Curved wheat shaft in two long vertical strokes. Wheat shaft is: curved stroke with upward pointing diagonal strokes on both sides, going the full length of the shaft	
P103	Plant curving left, small leaf at top, larger leaf at middle forming two leaves on either side of stem	M400
P104	Plant curving left, small leaf at top, larger leaf at middle forming two leaves on either side of stem. Bracketed by two inward taperd vertical lines	M401
P105	Plant curving left, small leaf at top, larger leaf at middle forming two leaves on either side of stem. Standing on top of horizontal pedestal	
P106	Flowering plant with 'sapling' on right, 'tree branch' on left	M351
P107	Flowering plant with 'sapling' on left, 'tree branch' on right, 'garlic' in center	M372
P108	The 'garlic' motif. Vertical stroke, broken by a circle with a dot in it	M397
P109	The 'garlic' motif next to a leaf with a small vertical center decoration, all inside a cage of four small vertical strokes	M377
P110	Upside-down heart symbol with horizontal hatching, with vertical stroke coming from bottom of heart. Heart has two small decorations coming off the top center	M327
P111	Upside-down heart symbol, with vertical stroke coming from bottom of heart	M325
P112	Upside-down heart symbol, possibly with vertical stroke coming from bottom of heart, vertical stroke decoration	M326
P113	Upside-down heart symbol, possibly with vertical stroke coming from bottom of heart, vertical stroke decoration. On top of three horizontally adjacent triangles	
P114	A single vertical line, with two person arms; head may be circle or continuation of line	M155
P115	A single vertical line, with two person arms; head may be circle or continuation of line. Bracketed by inverted parentheses	M156
P116	A single vertical line, with two person arms; head is crossed by a horizontal decoration	M157
P117	Flowering plant with three stems that meet at the bottom	M367
P118	Flowering plant with two stems that meet at the bottom. Leaf with pincers between stems	M362,M363,M364
P119	Two top-aligned small vertical strokes (prefer P122)	M099
P120	A single small vertical line, then another vertical line with the bottom half slanting under the first line (like a Japanese 'ri' character).	M123
P121	Simple, half-height vertical stroke	M097,M098
P122	Two adjacent half-height simple vertical strokes	M099,M100
P123	Three adjacent half-height simple vertical strokes	M102,M103
P124	Four adjacent half-height simple vertical strokes	M104,M105
P125	Five simple vertical strokes	M106,M107
P126	Six short vertical strokes	M108,M109
P127	Seven short vertical strokes	M110,M112
P128	Eight short vertical strokes	M114
P129	Nine short vertical strokes	M115,M116
P130	Ten short vertical strokes	M118
P131	One tiny caret	M312
P132	Two tiny stacked carets	M313
P133	Three tiny stacked carets	M314
P134	Four tiny stacked carets	
P135	Many tiny stacked carets	
P136	Seven short vertical strokes, bracketed by parentheses	M111,M113
P137	Nine short vertical strokes, capped by 'table' hat	M117
P138	Caret above a small vertical stroke	M153
P139	Two small vertical strokes over one small vertical stroke	M103
P140	Two stacked small vertical strokes	M101
P141	Three rows of off-center or slanted small vertical strokes	M119,M120
P142	Four small vertical strokes above the same, above the same	M121
P143	Four small vertical strokes above the same, above the same. Bracketed by right parentheses	M122
P144	One full-height vertical stroke	M086
P145	Two adjacent full-height vertical strokes	M087
P146	Two adjacent full-height vertical strokes, surrounded on either side by a vertical bar over another vertical bar	M088
P147	Three adjacent full-height vertical strokes	M089
P148	Three adjacent full-height vertical strokes. Small 'tree' off right side	M090,M091
P149	Three adjacent full-height vertical strokes. Caret hat	M092
P150	Four adjacent full-height vertical strokes	M095
P151	Five adjacent simple tall vertical strokes	M096
P152	Three adjacent full-height vertical strokes, third (and maybe second) stroke is angled away slightly	M093,M094
P153	Three adjacent full-height vertical strokes, first stroke is angled away slightly	
P154	Right parenthesis (perhaps with a backward curve at the bottom)	M287
P155	Wavy line caged by short double vertical strokes, possibly with a stroke missing	M289
P156	Right parenthesis with small, slightly inward-and-downward horizontal line from middle	M288
P157	Right parenthesis with small, diagonal stroke through it	
P158	Right parenthesis with small tooth on it facing right	
P159	Right parenthesis with small inward strokes on top, and a tooth outward on top	
P160	Right parenthesis with small leaf at middle	M293
P161	Right parenthesis with small leaf at middle, stroke crossing top part of paren	
P162	Right parenthesis with small lines away from it at top	M290
P163	Left parenthesis	M299
P164	Left parenthesis with small inward pointing tooth near top	M300
P165	Left parenthesis with small semicircle against the very middle	M301
P166	Left parenthesis with small semicircle against the very middle, diagonal line extending past the paren from the bottom of the semicircle	
P167	Left parenthesis with small semicircle against the very middle, diagonal line extending past the paren from the bottom of the semicircle. T-bar diagonally against top of parenthesis	
P168	Left parenthesis with small semicircle against the very middle, diagonal extending from bottom of semicircle, caret over all	
P169	Left parenthesis with small semicircle against the very middle, diagonal extending from bottom of semicircle, caret over all, some damage	
P170	Left parenthesis with small semicircle against the very middle, caret extending from top of semicircle	
P171	Left parenthesis, two perpendiculars coming away both from top and bottom, caged by four small vertical strokes	M292
P172	Two slightly nested right parentheses	M294
P173	Two slightly nested right parentheses, small tooth facing outward from top of right parenthesis	M295
P174	Right parenthesis next to left parenthesis	M303
P175	Right parenthesis drawn in outline	M296
P176	Right parenthesis drawn in outline, horizontal hatching throughout	M297
P177	Many slightly nested right parentheses	M298
P178	Right facing bow, i.e. a vertical stroke with a right-parenthesis fully attached on the right	M304
P179	Right facing bow, i.e. a vertical stroke with a right-parenthesis fully attached on the right. Several small perpendiculars coming off top	M305
P180	Leaf, small perpendicular strokes radiating from the top. Surrounded by a capital Gamma	M306
P181	Lyre, or a left parenthesis with multiple vertical lines inside	M311
P182	Bow and arrow	M307
P183	Bow and arrow, caged by pairs of small vertical strokes	M308
P184	Tall, slightly narrow caret (mountain motif)	M134
P185	Tall, slightly narrow caret (mountain motif), with a bit of the right leg removed	M129
P186	A with right leg only partially formed, possibly with pitchfork foot on right	M178
P187	A with right leg only partially formed, caged by pairs of small vertical strokes	M179
P188	Vertical line with diagonal going down from top right, diagonal going up from bottom left	M130
P189	Caret with diagonal continuing upwards and left from the bottom left. Under a 'table' motif	M131
P190	A 'W' symbol	
P191	A 'W' symbol with an extra stroke going down and left from the left tip ('wave' motif)	M132
P192	Two vertically stacked 'wave' motifs (see P191)	M133
P193	Person sitting with bent knees, no small tangent lines coming off the back	M047
P194	Person sitting with bent knees, four small tangent lines coming off the back	M048
P195	Tall caret drawn in outline, with hatching throughout	M136
P196	Upside-down heart symbol	M323
P197	Tall caret drawn in outline, with diamond inscribed at the point	M135
P198	Tall lambda drawn in outline, with V or diamond inscribed at the connector	M259
P199	Two or three tall vertical strokes, with a small box off the right center of the second stroke	
P200	Tall box with horizontal hatching throughout, possibly a small handle off right hand side	M258
P201	Vertical stroke with a small slightly downward horizontal stroke at the left middle	
P202	Vertical stroke with a triangular wing attached near the middle	M402
P203	Upside down 'Y' motif	M126
P204	Simple lambda but reversed horizontally, and the leg may not be quite connected to the long stem	M124,M125
P205	Prismed light rays, with opposite slanting on top vs bottom, more rays on bottom	M180
P206	Prismed lines like P205, but with a decoration on top. Possibly with an up and down caret attached at top right	M181
P207	Tall triangle with no decoration, either isocolese or more horn-shaped	
P208	Tall triangle with vertical divider, either isocolese or more horn-shaped	M209
P209	Tall triangle with vertical divider, horizontal hatching throughout, either isocolese or more horn-shaped	M210
P210	Tall isoceles triangle with horizontal stripes	M204
P211	Horizontally striped isocolese triange, with serifed T on top	M206
P212	Horizontally striped isocolese triange, with serifed T on top, caged by four small vertical strokes	M207
P213	Horizontally striped isocolese triange, with serifed T on top, capped by a 'table' motif	M208
P214	Two adjacent carets	
P215	Three tall, thin isoceles triangles	M230
P216	Three short isoceles triangles, above three short isocoles triangles but pointed downward	M231
P217	Isocolese triangle on top of vertical line (arrow? spear?)	M211
P218	Five pointed star, with lines completely connecting point to point	
P219	A 'K' with a vertical line connecting the bottom point, and the top right arm is a rectangle	
P221	Three triangles, one large isocoles pointing right on left, two small on right, all linked at the point of the left triangle	M233
P222	Three triangles, one large isocoles pointing right on left, two small on right, all linked at the point of the left triangle. Capped by a 'table' motif	M234
P223	Three triangles, one large isocoles pointing right on left, two small on right, all linked at the point of the left triangle, with a small tree growing from the lower right	M235
P224	A 'Bowtie' motif. Or, an 'X' with vertical line connecting the left points, and same on right	M214
P225	A 'Bowtie' motif. Or, an 'X' with vertical line connecting the left points, and same on right. Small vertical stroke in left side	
P226	Bowtie with another left-pointing triangle attached on the right, hatching throughout	M215
P227	A 'Bowtie' motif, but without the vertical line connecting the right points	M225
P228	X with left points connected by vertical line, with another such X underneath, and a vertical bar connecting the cross-point of the two X's	M228,M309
P229	A 'Bowtie' motif, but without the vertical line connecting the right points. Small 'v' coming off top right point	M226
P230	The 'pincer' motif. Right-pointing isocoles triangle on left, left-pointing isosceles triangle on right, with small part of right line removed in middle	M216
P231	The 'pincer' motif, with vertical stroke through the middle point	M221
P232	Right-pointing isocoles triangle on left, left-pointing isosceles triangle on right, with small part of right line removed in middle. Two leaves coming out of the connecting point.	M219
P233	The 'pincer' motif, with two vertically stacked leaves intersecting at the middle point. Caged by four small vertical strokes	M220
P234	Left-pointing isocoles triangle on right, right-pointing isosceles triangle on left, with small part of left line removed in middle.	M216
P235	The 'pincer' motif with 'rake' coming from lower left. Rake is a long stroke with multiple short perpendiculars coming off one side. Pincer is missing at least one of the pincer teeth	M227
P236	The 'pincer' motif with 'rake' coming from lower left. Rake is a long stroke with multiple short perpendiculars coming off one side.	
P237	X with vertical connection on left two tips, right tips both have a slight vertical line toward each other, and three lines off the tip away from each other	M223
P238	X with vertical connection on left two tips, right tips both have a slight vertical line toward each other, and three lines off the tip away from each other. Line with three downward lines coming off left	M224
P239	An 'X' where each arm is decorated with wheat sheaves	
P240	An 'X' with no decoration	M137
P241	An 'X' with no decoration, inside a cage of four small vertical strokes	
P242	An 'X' with two vertical strokes inside each angle of the X	M140
P243	An 'X' with a 'table' hat	M139
P244	An 'X' with a 'caret' hat	M138
P245	An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other	M141
P246	X with two vertical strokes through it, caged by 4 short pairs of vertical lines	M143
P247	X with two vertical strokes through it, caged by inverted parentheses	M144
P248	An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other. All under a 'table' hat	M142
P249	An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other. Pitchfork head going across the center	M145
P250	A vertical stroke with a smallish X centered on the top	M158
P251	An X on top of a vertical stroke, with a decorated triangle hanging off the upper right	M160
P252	A full-height vertical stroke with a smallish X near the top	
P253	An X near the top of a vertical stroke, with a caret hat	M159
P254	Two or more crossed lines (line an X or *) with small perpendicular decorations (ovals? lines) at each tip	M146,M147
P255	Two nested greater-than symbols, touching two nested less-than symbols	M149
P256	An X but drawn in outline	M150
P257	An X but drawn in outline. Three small adjacent triangles affixed diagonally to the top right arm	M151
P258	An X but drawn in outline, with tree stemming from bottom right corner	M152
P259	A central box, with orthogonal lines coming off in a pinwheel manner	
P260	An octothorpe, possibly rotated 45 degrees (see similarity with P359)	M264
P261	Box with inward facing triangles on each corner, filled with small U's and X's	
P262	Tall rectangle with no decoration	M237
P263	Tall rectangle with no decoration, connected to a tall vertical stroke on the left by a short diagonal line	
P264	Tall rectangle with two horizontal hatches going across the center	M238
P265	Tall rectangle with vertical full height bar inside, and a horizontal bar across the left or right area	M242
P266	Tall rectangle with vertical full height bar inside, and a horizontal bar across the left or right area. Small U in the other area	M243
P267	Tall rectangle a box affixed to the left interior, the box has a horizontal crossbar	M239
P268	A grid of x by y cells	M241,M245
P269	A grid of x by y cells, with a tall vertical stroke on one side, both connected by a short diagonal line	M246
P270	Rectangle, taller than wide, with vertical strokes for teeth inside on top and bottom	M244
P271	Rectangle, taller than wide, with vertical strokes for teeth inside on top and bottom. Two right parentheses inside everything	
P272	Trapezoid with inner rectangle	M201
P273	Wide rectangle, with an X from corner to corner	
P274	Tall central rectangle, flanked by two small boxes on the bottom	M257
P275	Square in middle, possibly with horizontal lines across, and lines coming from top and bottom	M253
P276	Square at bottom with vertical bar coming off top middle	M249
P277	Square at bottom with vertical bar coming off top middle. Caged by four small vertical strokes	M250
P278	Square at bottom with vertical bar coming off top middle. Interior is the 'pincer' motif with two leaves at the middle	M251
P279	Square at bottom with vertical bar coming off top middle, and two diagonals also coming from the bottom of the vertical bar	
P280	Box with vertical stroke off top center, horizontal striping	M252
P281	Vertical line with two small boxes attached to the top	M256
P282	Box on top left, vertical extender from bottom left, horizontal extenders all along the right side	M170
P283	Rectangle, but with bottom line missing, and bottom-half of left line missing (like backward greek capital gamma with a prominent serif)	M127
P284	Backward capital Gamma with serif, small vertical stroke inside the area	M128
P285	Trapezoid with no bottom line, bird-foot in bottom	M195
P286	Trapezoid with no bottom line, bird-foot in bottom, 'table' hat	M196
P287	Trapezoid with no bottom line, bird-foot in bottom. Two small vertical strokes on top	
P288	Trapezoid with no bottom line, two short outward perpendiculars off bottom left and right and from top center, bird-foot in bottom	M194
P289	Trapezoid with no bottom line, small box resting on the top middle	M197
P290	Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table.	M198
P291	Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table. Left paren attached to left side, paren has small semicircle at center. Semicircle has diagonal continuing through the paren.	
P292	Tall table. Small decoration on top	M199,M200
P293	Large 'H', possibly with top points connected by horizontal bar	M199
P294	Large 'H', possibly with top points connected by horizontal bar. Table for a hat.	M203
P295	Large 'H', possibly with top points connected by horizontal bar. Vertical lines come down from the crossbar.	M188
P296	Two long vertical strokes, connected by multiple horizontal lines	M186
P297	Ladder motif. Two nearby vertical lines with a number of horizontal lines going across the middle, going the length of the verticals.	
P298	An 'H', but the crossbar is multiple small boxes. Possibly with an upward tail coming from the bottom left	
P299	Two 'H's, but the crossbars are multiple small boxes. H's share one of the vertical lines.	M185
P300	Two narrow vertical lines, three diagonals connecting them. Tail coming horizontally off top, right edge has a thin triangle sharing part of the edge	M187
P301	Small box with horizontal hatching, vertical lines coming from top left and bottom right corners	M254
P302	Box in center. Vertical lines coming from top left and right. Vertical coming from bottom right, extended by a horizontal at the bottom.	M255
P303	H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar	M182
P304	H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar. All connected by a short diagonal to a tall vertical stroke on left	M183
P305	Long horizontal at bottom, multiple vertical lines coming off for the entire length	M189
P306	Long horizontal at bottom, multiple vertical lines coming off for the entire length. Each vertical decorated near top, low horizontal is made of abutting small rectangles, possibly decorated	M190
P307	Box with open top, diagonal line coming off top right and outward. Bottom has a small rect with vertical lines	M191
P308	M with the bottom of the legs connected by a horizontal line, and vertical lines connected at midpoint by horizontal line	M192
P309	M with the bottom of the legs connected by horizontal lines, and vertical line decoration	M193
P310	Simple U with no other decoration	M328
P311	U with two small vertical strokes inside the top	M329
P312	U with three small vertical strokes inside the top	M330
P313	U with several small strokes off the bottom	M332
P314	U with several small strokes off the bottom, caret hat	M334
P315	Large 'V' with a tall vertical coming from the vertex (making a large bird foot)	M365
P316	U with a long vertical stroke inserted into the gap of U	M336
P317	U with several small strokes off the bottom, vertical line with possible decoration at bottom inserted into the U	M335
P318	U with upward-bowed line or wagon wheel near the bottom	
P319	U with X going from side to side near the bottom	
P320	A cat's paw perhaps, two vertical strokes on each side, and four fingers, with fingers on one side a little shorter than the other	M341
P321	Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Three vertical lines off top horizontal. Capped by 'table'.	M339
P322	Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Top is a sequence of small boxes	M338
P323	U with 'tree' motif sprouting from the bottom	
P324	Classic jar symbol with two horizontal handles at the top of each arm pointed outward	M342
P325	Classic jar symbol with two horizontal handles at the top of each arm pointed outward, single small vertical stroke inside mouth of jar	M343
P326	Classic jar symbol with two horizontal handles at the top of each arm pointed outward, two small vertical strokes inside mouth of jar	M344
P327	Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth	M345
P328	Classic jar symbol with two horizontal handles at the top of each arm pointed outward, four small vertical strokes in mouth	
P329	Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth. Three small strokes at bottom. Overlaid by a decorated caret	M346
P330	Classic jar symbol with two horizontal handles at the top of each arm pointed outward. Inside has a wagon wheel at bottom, attached to a double headed pitchfork at top	
P331	U with jar handles on left, trifurcated tree on right	M352
P332	U with decorated branching at top	M347,M358
P333	U with trifurcated trees for handles, very low X connecting the U legs near the bottom	M357
P334	U with trifurcated trees for handles, very low caret in outline with small diamond in the tip	M356
P335	U with trifurcations at the tips, with full height vertical stroke on left, connected together with horizontal stroke	M349
P336	U with trifurcated trees for handles, small check-mark on right side	M350
P337	U with trifurcated trees for handles, wagon wheel circumscribed fully within	M355
P338	Upside down U, with five small vertical strokes within	M317
P339	Upside down U, with a wagon wheel above two small vertical strokes within	M393
P340	Upside down U, with a small 'H' within	M316
P341	Four rounded lines going upward, curving into each other at top, with a caret hat above all, and two diagonal strokes across the four lines	M318
P342	A left and right paren connected only at the top, with the left paren swooping upward into the center from the bottom	M319
P343	A left and right paren connected only at the top, with the left paren swooping upward into the center from the bottom. Small diagonal coming off top-right	M320
P344	The 'headphones' motif. Upside down U with small cirles on each end	M321
P345	The 'headphones' motif. Upside down U with small cirles on each end. Tall 'Y' inscribed and attached inside	M322
P346	Capital 'T' with a small leaf oriented vertically attached to both sides of the top bar	M409
P347	Two leaves horizontally adjacent, with a small horizontal line connecting them	M408
P348	Two leaves horizontally adjacent, with a small horizontal line connecting them. Caged by two inward sloping vertical lines	M409
P349	Two vertical leaves, slightly overlapping	M403
P350	Two overlapping leaves, bracketed by two small stacked vertical lines on each side	M404
P351	Two vertical leaves, slightly overlapping. Small tree motif coming from right hand side	M405
P352	Two overlapping leaves with diagonal hatches across the three midsections, possibly with a cage of small vertical strokes	M407
P353	Three stacked leaves, possibly with vertical stroke through the center	M415,M417
P354	Three stacked leaves. Caged by two tall vertical strokes	M416
P355	Simple leaf or diamond, possibly rotated 45 degrees	M261,M373,M374
P356	Simple leaf or diamond, possibly rotated 45 degrees. Small tree of right hand side	M262
P357	Simple leaf, two small inverted carets off right, diagonal with orthogonal upware strokes on left	
P358	Leaf with small strokes coming out diagonally on all four diagonals	
P359	Diamond with two perpendiculars coming off each edge (see similarity with P260)	M264
P360	Leaf on vertical line, with sun rays coming out from the top	M399
P361	Diamond with diagonal line crossing lower right edge	M263
P362	Diamond with small flag coming from bottom	
P363	Diamond with two horizontally adjacent boxes on a short vertical stick inside near bottom	M266
P364	Leaf with tree at bottom	M387
P365	Leaf with tree at bottom, caged by four small vertical strokes	M388,M390
P366	Leaf with small vertical stroke inside	M375
P367	Leaf with small vertical stroke inside, small tooth coming off top right	M376
P368	Leaf with small dot inside	
P369	Leaf with small square hatched decoration inside	M381
P370	Leaf with small square hatched decoration inside, small tooth off top right	
P371	Leaf with small square hatched decoration inside, pitchfork head inside	M383
P372	Leaf with diagonal-stroke central decoration	M379
P373	Leaf with tooth off top-right, and tooth off bottom-left	
P374	Leaf with stretched diamond overlapping from top right to top bottom	
P375	Leaf. Diamond in center with vertical strokes out each edge to edge of leaf. Vertical lines similarly from top and bottom vertices	M384
P376	Leaf with diagonal overlapping cross hatching throughout	M380
P377	Circle with plus sign fully inscribed	
P378	Wheel with 6 spokes with even angles	M391
P379	Wheel with 6 spokes with even angles, two tall vertical strokes on left, all caged by four small vertical strokes	M392
P380	2x2 grid, each cell has a small vertical stroke	M247
P381	Diamond with gridding, each grid cell has a small stroke in it	
P382	Diamond with four small diamonds at each vertex	M284
P383	Diamond with four small diamonds at each vertex, caged by four small vertical strokes	M285
P384	Diamond with four small diamonds at each vertex, and a wagon wheel in the center	M286
P385	Diamond or leaf shape with a small diamond attached to the top	M267
P386	Diamond or leaf shape directly above another, with small diamonds inside each at the center	M268
P387	Diamond with a small diamond attached to the top, two orthogonal strokes going through bottom left edge	M276
P388	Diamond with a small diamond attached to the top, lower left edge has a doubling parallel line inside the diamond	M275
P389	Diamond with several lines coming from top outward in a sunburst	M272
P390	Diamond with small diamond at top (and maybe even smaller diamond on right), small diamond at top has decoration off the bottom	M277,M279,M280,M282,M283
P391	Diamond with small diamond at top (and maybe even smaller diamond on right), small diamond at top has decoration off the bottom, all caged by four small vertical strokes	M278
P392	Diamond with small diamond in top vertex, bird foot or tree coming off top left edge	M270
P393	Diamond with small diamond in top vertex, multiple trees off top right edge	M271
P394	Diamond with small diamond in top vertex, jar handles or trees coming from top vertex, one on each side	M274
P395	Diamond with small diamond in top vertex, rakes coming from top vertex, one on each side	M273
P396	Square with small square inside top left vertex, 9 slanted vertical strokes in a 3x3 pattern inside	M236
default_features	Default features for the grapheme dataset	
